time,0,1,2,3,5,6,7,9,10,11,13,14,15,17,18,19,21,22,23,25,26,27,29,30,31,33,34,35,37,38,39,41,42,43,45,46,47,48,50,51,52,54,55,56,58,59,60,62,63,64,66,67,68,70,71,72,74,75,76,78,79,80,82,83,84,86,87,88,90,91,92,94,95,96,97,99,100,101,103,104,105,107,108,109,111,112,113,115,116,117,119,120,121,123,124,125,127,128,129,131,132,133,135,136,137,139,140,141,142,144,145,146,148,149,150,152,153,154,156,157,158,160,161,162,164,165,166,168,169,170,172,173,174,176,177,178,180,181,182,184,185,186,188,189,190,191,193,194,195,197,198,199,201,202,203,205,206,207,209,210,211,213,214,215,217,218,219,221,222,223,225,226,227,229,230,231,233,234,235,236,238,239,240,242,243,244,246,247,248,250,251,252,254,255,256,258,259,260,262,263,264,266,267,268,270,271,272,274,275,276,278,279,280,282,283,284,285,287,288,289,291,292,293,295,296,297,299,300,301,303,304,305,307,308,309,311,312,313,315,316,317,319,320,321,323,324,325,327,328,329
L,0.3,0.2949,0.290075,0.285506,0.277077,0.273187,0.269497,0.262669,0.259509,0.256507,0.250938,0.248355,0.245897,0.24133,0.239208,0.237186,0.233424,0.231673,0.230003,0.226892,0.225442,0.224059,0.221478,0.220275,0.219126,0.216979,0.215978,0.215021,0.213232,0.212397,0.211599,0.210106,0.209408,0.208741,0.207492,0.206909,0.20635,0.205816,0.204817,0.204349,0.203902,0.203064,0.202672,0.202297,0.201594,0.201265,0.20095,0.20036,0.200084,0.199819,0.199324,0.199092,0.19887,0.198453,0.198258,0.198071,0.197721,0.197557,0.1974,0.197106,0.196968,0.196835,0.196588,0.196472,0.19636,0.196152,0.196054,0.195961,0.195785,0.195703,0.195624,0.195476,0.195407,0.195341,0.195277,0.195158,0.195102,0.193878,0.1882,0.183922,0.178821,0.169678,0.165582,0.161771,0.154917,0.151837,0.148965,0.14379,0.141459,0.139282,0.135353,0.133579,0.131923,0.128926,0.127573,0.126307,0.124016,0.12298,0.12201,0.120254,0.119459,0.118715,0.117366,0.116755,0.116183,0.115147,0.114677,0.114237,0.113825,0.113078,0.112739,0.112422,0.111846,0.111586,0.111341,0.110898,0.110697,0.110509,0.110168,0.110013,0.109868,0.109605,0.109486,0.109374,0.109172,0.10908,0.108994,0.108839,0.108768,0.108702,0.108582,0.108528,0.108477,0.108385,0.108343,0.108304,0.108234,0.108202,0.108172,0.108118,0.108093,0.10807,0.108029,0.10801,0.107993,0.107976,0.107947,0.107933,0.107921,0.106004,0.104203,0.101921,0.0967711,0.0945424,0.092516,0.0889962,0.0874705,0.0860819,0.0836669,0.082619,0.0816646,0.0800034,0.079282,0.0786247,0.0774801,0.0769827,0.0765295,0.0757399,0.0753967,0.0750839,0.0745389,0.074302,0.0740861,0.0737098,0.0735463,0.0733972,0.0731374,0.0730245,0.0729216,0.0728278,0.0726644,0.0725934,0.0725288,0.0724161,0.0723672,0.0723226,0.072245,0.0722113,0.0721806,0.0721273,0.0721041,0.072083,0.0720464,0.0720305,0.0720161,0.071991,0.0719802,0.0719703,0.0719532,0.0719458,0.0719391,0.0719276,0.0719226,0.071918,0.0719102,0.0719069,0.0719039,0.0718987,0.0718964,0.0718944,0.071891,0.0718896,0.0718883,0.0718861,0.0718851,0.0718843,0.0718836,0.0718824,0.0718819,0.0718814,0.0718807,0.0718805,0.0718802,0.0718799,0.0718797,0.0718796,0.0718795,0.0718794,0.0718794,0.0718794,0.0718794,0.0718795,0.0718796,0.0718796,0.0718797,0.0718798,0.0718799,0.07188,0.0718802,0.0718803,0.0718804,0.0718806,0.0718807,0.0718808,0.071881,0.071881,0.0718811,0.0718813,0.0718814,0.0718815
R,0.1,0.0985,0.0970776,0.0957281,0.0932302,0.092074,0.0909749,0.0889349,0.0879881,0.0870867,0.0854099,0.0846301,0.0838865,0.082501,0.0818554,0.0812393,0.0800894,0.0795528,0.0790403,0.0780824,0.0776349,0.0772071,0.0764068,0.0760325,0.0756745,0.075004,0.0746902,0.0743898,0.0738269,0.0735633,0.0733108,0.0728373,0.0726154,0.0724028,0.0720038,0.0718167,0.0716374,0.0714655,0.0711429,0.0709914,0.0708463,0.0705735,0.0704455,0.0703228,0.070092,0.0699837,0.0698798,0.0696844,0.0695926,0.0695045,0.0693389,0.0692611,0.0691864,0.0690459,0.0689799,0.0689165,0.0687972,0.0687412,0.0686873,0.068586,0.0685384,0.0684926,0.0684065,0.0683659,0.068327,0.0682537,0.0682193,0.0681861,0.0681238,0.0680944,0.0680662,0.0680131,0.0679881,0.067964,0.067941,0.0678975,0.067877,0.0678573,0.0678357,0.0678407,0.06786,0.0679472,0.0680118,0.0680884,0.0682731,0.0683788,0.0684921,0.068738,0.0688691,0.0690046,0.0692865,0.0694319,0.0695795,0.0698799,0.0700318,0.0701845,0.0704907,0.0706438,0.0707966,0.0711001,0.0712506,0.0714001,0.0716951,0.0718404,0.0719843,0.0722668,0.0724054,0.0725421,0.0726769,0.0729406,0.0730694,0.0731961,0.0734433,0.0735637,0.073682,0.0739122,0.0740241,0.0741339,0.0743472,0.0744508,0.0745522,0.074749,0.0748444,0.0749378,0.0751187,0.0752063,0.075292,0.0754578,0.075538,0.0756165,0.0757681,0.0758414,0.075913,0.0760514,0.0761183,0.0761835,0.0763096,0.0763705,0.0764299,0.0765446,0.0765999,0.0766539,0.0767581,0.0768083,0.0768573,0.0769052,0.0769975,0.0770419,0.0770853,0.0771715,0.077219,0.0772723,0.0774028,0.0774802,0.0775643,0.0777491,0.0778482,0.0779507,0.078164,0.0782738,0.078385,0.0786101,0.0787235,0.0788369,0.0790633,0.0791757,0.0792874,0.0795082,0.0796169,0.0797244,0.0799355,0.0800388,0.0801407,0.0803397,0.0804369,0.0805323,0.0807183,0.0808087,0.0808975,0.0809846,0.0811538,0.0812358,0.0813163,0.0814722,0.0815478,0.0816217,0.081765,0.0818344,0.0819022,0.0820335,0.082097,0.0821591,0.0822791,0.0823371,0.0823939,0.0825035,0.0825564,0.0826082,0.0827082,0.0827565,0.0828036,0.0828947,0.0829387,0.0829817,0.0830647,0.0831047,0.0831438,0.0832193,0.0832558,0.0832914,0.0833601,0.0833932,0.0834256,0.0834881,0.0835183,0.0835477,0.0835765,0.083632,0.0836588,0.0836849,0.0837354,0.0837597,0.0837835,0.0838294,0.0838515,0.0838731,0.0839148,0.0839349,0.0839546,0.0839925,0.0840108,0.0840286,0.0840631,0.0840797,0.0840959,0.0841272,0.0841423,0.0841571,0.0841855,0.0841992,0.0842127,0.0842385,0.084251,0.0842632,0.0842867,0.084298,0.0843091,0.0843304,0.0843407,0.0843508
B,0,0.0015,0.00292238,0.00427192,0.00676979,0.00792599,0.00902514,0.0110651,0.0120119,0.0129133,0.0145901,0.0153699,0.0161135,0.017499,0.0181446,0.0187607,0.0199106,0.0204472,0.0209597,0.0219176,0.0223651,0.0227929,0.0235932,0.0239675,0.0243255,0.024996,0.0253098,0.0256102,0.0261731,0.0264367,0.0266892,0.0271627,0.0273846,0.0275972,0.0279962,0.0281833,0.0283626,0.0285345,0.0288571,0.0290086,0.0291537,0.0294265,0.0295545,0.0296772,0.029908,0.0300163,0.0301202,0.0303156,0.0304074,0.0304955,0.0306611,0.0307389,0.0308136,0.0309541,0.0310201,0.0310835,0.0312028,0.0312588,0.0313127,0.031414,0.0314616,0.0315074,0.0315935,0.0316341,0.031673,0.0317463,0.0317807,0.0318139,0.0318762,0.0319056,0.0319338,0.0319869,0.0320119,0.032036,0.032059,0.0321025,0.032123,0.0321427,0.0321643,0.0321593,0.03214,0.0320528,0.0319882,0.0319116,0.0317269,0.0316212,0.0315079,0.031262,0.0311309,0.0309954,0.0307135,0.0305681,0.0304205,0.0301201,0.0299682,0.0298155,0.0295093,0.0293562,0.0292034,0.0288999,0.0287494,0.0285999,0.0283049,0.0281596,0.0280157,0.0277332,0.0275946,0.0274579,0.0273231,0.0270594,0.0269306,0.0268039,0.0265567,0.0264363,0.026318,0.0260878,0.0259759,0.0258661,0.0256528,0.0255492,0.0254478,0.025251,0.0251556,0.0250622,0.0248813,0.0247937,0.024708,0.0245422,0.024462,0.0243835,0.0242319,0.0241586,0.024087,0.0239486,0.0238817,0.0238165,0.0236904,0.0236295,0.0235701,0.0234554,0.0234001,0.0233461,0.0232419,0.0231917,0.0231427,0.0230948,0.0230025,0.0229581,0.0229147,0.0228285,0.022781,0.0227277,0.0225972,0.0225198,0.0224357,0.0222509,0.0221518,0.0220493,0.021836,0.0217262,0.021615,0.0213899,0.0212765,0.0211631,0.0209367,0.0208243,0.0207126,0.0204918,0.0203831,0.0202756,0.0200645,0.0199612,0.0198593,0.0196603,0.0195631,0.0194677,0.0192817,0.0191913,0.0191025,0.0190154,0.0188462,0.0187642,0.0186837,0.0185278,0.0184522,0.0183783,0.018235,0.0181656,0.0180978,0.0179665,0.017903,0.0178409,0.0177209,0.0176629,0.0176061,0.0174965,0.0174436,0.0173918,0.0172918,0.0172435,0.0171964,0.0171053,0.0170613,0.0170183,0.0169353,0.0168953,0.0168562,0.0167807,0.0167442,0.0167086,0.0166399,0.0166068,0.0165744,0.0165119,0.0164817,0.0164523,0.0164235,0.016368,0.0163412,0.0163151,0.0162646,0.0162403,0.0162165,0.0161706,0.0161485,0.0161269,0.0160852,0.0160651,0.0160454,0.0160075,0.0159892,0.0159714,0.0159369,0.0159203,0.0159041,0.0158728,0.0158577,0.0158429,0.0158145,0.0158008,0.0157873,0.0157615,0.015749,0.0157368,0.0157133,0.015702,0.0156909,0.0156696,0.0156593,0.0156492
D,0.2,0.1964,0.192997,0.189778,0.183847,0.181113,0.178522,0.173734,0.171521,0.16942,0.165528,0.163725,0.162011,0.158829,0.157352,0.155947,0.153334,0.15212,0.150963,0.14881,0.147808,0.146852,0.145072,0.144242,0.143451,0.141975,0.141288,0.140631,0.139405,0.138834,0.138288,0.137268,0.136792,0.136338,0.135489,0.135092,0.134713,0.134351,0.133674,0.133358,0.133056,0.13249,0.132226,0.131974,0.131502,0.131281,0.13107,0.130676,0.130491,0.130315,0.129985,0.129831,0.129683,0.129407,0.129278,0.129155,0.128924,0.128816,0.128713,0.12852,0.128429,0.128343,0.128181,0.128106,0.128033,0.127898,0.127835,0.127775,0.127661,0.127609,0.127558,0.127463,0.127419,0.127377,0.127336,0.127261,0.227225,0.326021,0.520364,0.616081,0.610961,0.601731,0.59757,0.593682,0.586644,0.583458,0.580473,0.575052,0.572589,0.570278,0.566066,0.564148,0.562343,0.559047,0.557541,0.556123,0.553525,0.552336,0.551213,0.549153,0.548208,0.547315,0.545671,0.544915,0.544199,0.54288,0.542272,0.541695,0.541148,0.540137,0.53967,0.539226,0.538403,0.538022,0.537659,0.536986,0.536673,0.536375,0.535821,0.535562,0.535316,0.534856,0.534642,0.534437,0.534053,0.533874,0.533702,0.533381,0.53323,0.533086,0.532814,0.532687,0.532564,0.532334,0.532225,0.532121,0.531924,0.531831,0.531742,0.531573,0.531493,0.531416,0.531271,0.531202,0.531135,0.531071,0.530949,0.530891,0.630835,0.828832,0.926984,1.02465,1.01937,1.01706,1.01495,1.01125,1.00962,1.00813,1.0055,1.00435,1.00328,1.00139,1.00056,0.999788,0.998417,0.997807,0.997242,0.996232,0.99578,0.99536,0.994603,0.994263,0.993945,0.99337,0.993109,0.992865,0.992419,0.992216,0.992024,0.991843,0.991511,0.991358,0.991213,0.990944,0.990819,0.990701,0.99048,0.990377,0.990278,0.990094,0.990007,0.989924,0.989767,0.989693,0.989622,0.989488,0.989424,0.989362,0.989245,0.989189,0.989136,0.989033,0.988984,0.988936,0.988846,0.988802,0.98876,0.988679,0.988641,0.988603,0.988531,0.988496,0.988463,0.988398,0.988367,0.988337,0.988307,0.98825,0.988223,0.988197,0.988145,0.988121,0.988097,0.98805,0.988028,0.988006,0.987965,0.987945,0.987925,0.987887,0.987869,0.987851,0.987816,0.9878,0.987784,0.987753,0.987738,0.987723,0.987695,0.987681,0.987668,0.987642,0.98763,0.987618,0.987594,0.987583,0.987572,0.987551,0.987541,0.987531
C,0,0.0036,0.0070031,0.010222,0.0161535,0.0188868,0.0214777,0.0262661,0.0284788,0.0305799,0.0344723,0.0362751,0.0379893,0.0411711,0.0426475,0.044053,0.0466658,0.04788,0.0490369,0.0511905,0.0521925,0.053148,0.0549284,0.0557577,0.0565489,0.0580246,0.0587124,0.0593691,0.0605946,0.0611663,0.0617122,0.0627318,0.0632076,0.0636621,0.0645114,0.064908,0.0652869,0.0656491,0.066326,0.0666422,0.0669445,0.0675096,0.0677736,0.0680261,0.0684982,0.0687188,0.0689298,0.0693244,0.0695088,0.0696852,0.0700151,0.0701694,0.0703169,0.0705929,0.0707219,0.0708453,0.0710761,0.0711841,0.0712873,0.0714804,0.0715708,0.0716571,0.0718187,0.0718943,0.0719665,0.0721018,0.072165,0.0722254,0.0723385,0.0723914,0.072442,0.0725366,0.0725809,0.0726232,0.0726636,0.0727393,0.0727747,0.0739791,0.0796359,0.0839191,0.0890393,0.098269,0.10243,0.106318,0.113356,0.116542,0.119527,0.124948,0.127411,0.129722,0.133934,0.135852,0.137657,0.140953,0.142459,0.143877,0.146475,0.147664,0.148787,0.150847,0.151792,0.152685,0.154329,0.155085,0.155801,0.15712,0.157728,0.158305,0.158852,0.159863,0.16033,0.160774,0.161597,0.161978,0.162341,0.163014,0.163327,0.163625,0.164179,0.164438,0.164684,0.165144,0.165358,0.165563,0.165947,0.166126,0.166298,0.166619,0.16677,0.166914,0.167186,0.167313,0.167436,0.167666,0.167775,0.167879,0.168076,0.168169,0.168258,0.168427,0.168507,0.168584,0.168729,0.168798,0.168865,0.168929,0.169051,0.169109,0.169165,0.171168,0.173016,0.175351,0.180632,0.182938,0.185048,0.188753,0.190378,0.191869,0.194497,0.195655,0.19672,0.198607,0.199441,0.200212,0.201583,0.202193,0.202758,0.203768,0.20422,0.20464,0.205397,0.205737,0.206055,0.20663,0.206891,0.207135,0.207581,0.207784,0.207976,0.208157,0.208489,0.208642,0.208787,0.209056,0.209181,0.209299,0.20952,0.209623,0.209722,0.209906,0.209993,0.210076,0.210233,0.210307,0.210378,0.210512,0.210576,0.210638,0.210755,0.210811,0.210864,0.210967,0.211016,0.211064,0.211154,0.211198,0.21124,0.211321,0.211359,0.211397,0.211469,0.211504,0.211537,0.211602,0.211633,0.211663,0.211693,0.21175,0.211777,0.211803,0.211855,0.211879,0.211903,0.21195,0.211972,0.211994,0.212035,0.212055,0.212075,0.212113,0.212131,0.212149,0.212184,0.2122,0.212216,0.212247,0.212262,0.212277,0.212305,0.212319,0.212332,0.212358,0.21237,0.212382,0.212406,0.212417,0.212428,0.212449,0.212459,0.212469
X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
