truetime,DMP:B,Gillespie:B
1.93,20.77108632,24
1.932267964,20.78303598,24
1.935,20.79743079,24
1.937274468,20.80937711,24
1.94,20.82369257,24
1.945,20.84987194,24
1.95,20.87596917,24
1.950311389,20.87758935,24
1.955,20.90198453,24
1.96,20.92791832,24
1.965,20.95377079,24
1.97,20.97954223,24
1.975,21.0052329,24
1.98,21.03084307,24
1.985,21.05637303,24
1.99,21.08182303,24
1.995,21.10719334,24
1.998385104,21.12431581,24
2,21.13248424,23.95630389
2.005,21.15769598,23.8210131
2.01,21.18282883,23.68572232
2.015,21.20788306,23.55043153
2.02,21.23285893,23.41514075
2.025,21.2577567,23.27984996
2.03,21.28257662,23.14455918
2.035,21.30731897,23.0092684
2.035342536,21.3090087,23
2.04,21.331984,23
2.045,21.35657196,23
2.05,21.38108311,23
2.055,21.40551771,23
2.06,21.42987602,23
2.065,21.45415828,23
2.07,21.47836475,23
2.075,21.50249569,23
2.076035012,21.50747526,23
2.08,21.52655133,22.77565954
2.085,21.55053193,22.49275775
2.09,21.57443775,22.20985597
2.09370899,21.59211574,22
2.095,21.59826902,22
2.1,21.622026,22
2.105,21.64570892,22
2.105523355,21.64818011,22
2.11,21.66931804,22.20703822
2.115,21.6928536,22.43828086
2.12,21.71631584,22.66952351
2.125,21.739705,22.90076615
2.127145665,21.74971081,23
2.127330704,21.7505737,22
2.13,21.76302133,22
2.135,21.78626506,22
2.14,21.80943644,22
2.145,21.8325357,22
2.15,21.85556307,22
2.155,21.87851881,22
2.16,21.90140313,22
2.161249705,21.90710508,22
2.164433724,21.92163257,23
2.165,21.92421628,22.95991632
2.17,21.94695849,22.60599294
2.175,21.96962999,22.25206955
2.178561075,21.98572679,22
2.18,21.99223102,22.03620761
2.185,22.0147618,22.16202243
2.19,22.03722257,22.28783724
2.195,22.05961355,22.41365205
2.2,22.08193498,22.53946687
2.205,22.10418707,22.66528168
2.21,22.12637006,22.7910965
2.215,22.14848418,22.91691131
2.218302023,22.16304311,23
2.22,22.17052964,23
2.225,22.19250668,23
2.23,22.21441551,23
2.231842353,22.22246322,23
2.235,22.23625636,23
2.24,22.25802944,23
2.245,22.27973499,23
2.25,22.30137322,23
2.255,22.32294434,23
2.258417106,22.33764079,23
2.26,22.34444858,23
2.265,22.36588616,23
2.27,22.38725728,23
2.275,22.40856217,23
2.278416515,22.42307476,23
2.28,22.42980105,23
2.285,22.45097411,23
2.29,22.47208159,23
2.295,22.49312369,23
2.3,22.51410062,23
2.305,22.53501259,23
2.31,22.55585982,23
2.315,22.57664251,23
2.32,22.59736087,23
2.325,22.61801511,23
2.33,22.63860544,23
2.335,22.65913206,23
2.34,22.67959517,23
2.340067592,22.67987095,23
2.3439949,22.69589422,23
2.345,22.69999499,23
2.348379874,22.71374211,23
2.35,22.72033172,23
2.355,22.74060555,23
2.36,22.7608167,23
2.364079378,22.7772555,23
2.365,22.78096536,23.03048201
2.37,22.80105174,23.19603324
2.375,22.82107603,23.36158447
2.38,22.84103843,23.5271357
2.385,22.86093914,23.69268693
2.39,22.88077837,23.85823816
2.39428151,22.89771425,24
2.395,22.9005563,24.02343014
2.4,22.92027314,24.1864813
2.405,22.93992908,24.34953245
2.41,22.95952431,24.51258361
2.415,22.97905903,24.67563477
2.42,22.99853343,24.83868593
2.424946732,23.01774088,25
2.424993248,23.01792149,25
2.425,23.01794771,25
2.426009882,23.02185683,25
2.43,23.03730206,25
2.435,23.05659666,25
2.436180008,23.06113617,25
2.44,23.07583172,25
2.442663402,23.08604623,25
2.445,23.09500741,25.07988991
2.45,23.11412393,25.25084336
2.455,23.13318148,25.42179682
2.46,23.15218022,25.59275028
2.465,23.17112036,25.76370373
2.47,23.19000208,25.93465719
2.471911129,23.1971969,26
2.475,23.20882557,26
2.48,23.227591,26
2.485,23.24629858,26
2.49,23.26494847,26
2.495,23.28354086,26
2.5,23.30207594,26
2.505,23.32055388,26
2.51,23.33897488,26
2.515,23.3573391,26
2.52,23.37564673,26
2.525,23.39389794,26
2.53,23.41209293,26
2.535,23.43023186,26
2.54,23.44831491,26
2.541788726,23.4547641,26
2.545,23.46634226,26
2.55,23.48431408,26
2.555,23.50223055,26
2.558177412,23.51358109,26
2.56,23.52009185,26.03911333
2.565,23.53789814,26.14641495
2.57,23.55564961,26.25371657
2.575,23.57334642,26.36101819
2.58,23.59098875,26.4683198
2.585,23.60857677,26.57562142
2.59,23.62611065,26.68292304
2.595,23.64359056,26.79022466
2.6,23.66101667,26.89752627
2.604775032,23.6776075,27
2.605,23.67838915,27
2.606358419,23.68309445,27
2.61,23.69570817,27
2.614927829,23.71272468,27
2.615,23.7129739,27.00970149
2.62,23.73018649,27.68182272
2.622366964,23.73830974,28
2.625,23.74734613,28
2.63,23.76445298,28
2.635,23.78150719,28
2.64,23.79850895,28
2.6449721,23.81536382,28
2.645,23.8154584,28
2.649725947,23.83142957,28
2.65,23.83235572,28
2.655,23.84920107,28
2.66,23.86599461,28
2.665,23.88273651,28
2.67,23.89942692,28
2.675,23.916066,28
2.68,23.93265393,28
2.685,23.94919084,28
2.69,23.96567692,28
2.695,23.98211231,28
2.7,23.99849717,28
2.705,24.01483166,28
2.71,24.03111594,28
2.712800923,24.0402101,28
2.715,24.04735016,28
2.72,24.06353448,28
2.725,24.07966906,28
2.73,24.09575404,28
2.735,24.11178959,28
2.737913728,24.12110552,28
2.74,24.12777586,28
2.745,24.143713,28
2.75,24.15960116,28
2.755,24.1754405,28
2.76,24.19123117,28
2.765,24.20697331,28
2.77,24.22266709,28
2.774494325,24.23673032,28
2.775,24.23831264,28.12334431
2.778594031,24.2495242,29
2.78,24.25391012,29
2.785,24.26945968,29
2.79,24.28496146,29
2.795,24.30041562,29
2.8,24.3158223,29
2.805,24.33118165,29
2.81,24.34649382,29
2.815,24.36175894,29
2.82,24.37697717,29
2.825,24.39214865,29
2.828212605,24.4018667,29
2.83,24.40727353,29
2.830648997,24.4092307,29
2.835,24.42235195,29
2.84,24.43738404,29
2.845,24.45236997,29
2.85,24.46730986,29
2.855,24.48220386,29
2.857991107,24.49108641,29
2.86,24.49705212,29
2.865,24.51185476,29
2.87,24.52661194,29
2.875,24.54132379,29
2.88,24.55599046,29
2.885,24.57061207,29
2.89,24.58518878,29
2.895,24.59972071,29
2.895849987,24.60218351,29
2.9,24.61420801,29
2.902305144,24.62086656,29
2.905,24.62865081,29
2.91,24.64304925,29
2.915,24.65740346,29
2.92,24.67171359,29
2.925,24.68597976,29
2.93,24.70020212,29
2.935,24.71438078,29
2.94,24.7285159,29
2.945,24.7426076,29
2.95,24.75665602,29
2.955,24.77066128,29
2.96,24.78462353,29
2.965,24.79854289,29
2.97,24.81241948,29
2.975,24.82625346,29
2.975377908,24.82729584,29
2.98,24.84004493,29
2.985,24.85379404,29
2.99,24.86750092,29
2.995,24.88116568,29
3,24.89478847,29
3.00125943,24.89820932,29
3.005,24.90836941,29
3.005721929,24.91032427,29
3.01,24.92190862,29
3.015,24.93540623,29
3.02,24.94886238,29
3.025,24.96227718,29
3.028439184,24.97147602,29
3.03,24.97565076,29
3.035,24.98898325,29
3.04,25.00227478,29
3.045,25.01552546,29
3.05,25.02873543,29
3.052823616,25.03617248,29
3.055,25.0419048,29
3.06,25.0550337,29
3.065,25.06812225,29
3.07,25.08117058,29
3.075,25.0941788,29
3.076199044,25.0972887,29
3.078612163,25.10354749,28
3.08,25.10714705,28
3.085,25.12007543,28
3.09,25.13296408,28
3.093300204,25.14144496,28
3.095,25.1458131,28
3.1,25.15862263,28
3.105,25.17139278,28
3.11,25.18412367,28
3.114013834,25.19431218,28
3.115,25.19681542,28.02341839
3.12,25.20946815,28.14215285
3.125,25.22208197,28.26088731
3.13,25.23465701,28.37962177
3.135,25.24719338,28.49835623
3.14,25.2596912,28.61709069
3.145,25.27215059,28.73582515
3.15,25.28457165,28.85455961
3.155,25.29695451,28.97329407
3.156124608,25.29973112,29
3.16,25.30929929,29
3.165,25.32160609,29
3.17,25.33387504,29
3.172950972,25.34109382,29
3.175,25.34610624,29.15047083
3.18,25.35829981,29.51764685
3.185,25.37045587,29.88482288
3.186568418,25.37425729,30
3.19,25.38257452,30
3.195,25.39465588,30
3.2,25.40670007,30
3.205,25.41870719,30
3.21,25.43067736,30
3.211815782,25.43501102,30
3.215,25.44261068,30
3.215330316,25.44339661,30
3.22,25.45450727,30
3.222004689,25.45926238,30
3.225,25.46636724,30
3.23,25.4781907,30
3.235,25.48997776,30
3.24,25.50172853,30
3.245,25.51344311,30
3.24690231,25.51788634,30
3.25,25.52512162,29.86689158
3.255,25.53676417,29.65204051
3.26,25.54837085,29.43718944
3.265,25.55994179,29.22233836
3.27,25.57147709,29.00748729
3.270174244,25.57187784,29
3.275,25.58297685,29.16121789
3.28,25.59444118,29.32825688
3.285,25.60587019,29.49529586
3.29,25.61726399,29.66233485
3.295,25.62862267,29.82937384
3.3,25.63994635,29.99641283
3.300107375,25.64018877,30
3.305,25.65123512,30
3.31,25.6624891,30
3.315,25.67370839,30
3.32,25.68489309,30
3.325,25.69604331,30
3.33,25.70715914,30
3.335,25.7182407,30
3.338606685,25.72620959,30
3.34,25.72928808,30.12553142
3.345,25.74030139,30.57600878
3.349706021,25.75063519,31
3.35,25.75128073,30.90168961
3.352696333,25.75718325,30
3.355,25.76222619,30
3.36,25.77313789,30
3.365,25.78401592,30
3.37,25.79486038,30
3.375,25.80567138,30
3.376142655,25.8081344,30
3.38,25.816449,30
3.385,25.82719336,30
3.39,25.83790456,30
3.393607012,25.84560778,30
3.395,25.84858268,30
3.4,25.85922783,30
3.404447419,25.86866728,30
3.405,25.86984011,30
3.41,25.88041961,30
3.411851095,25.88432425,30
3.415,25.89096644,30
3.42,25.90148069,30
3.425,25.91196245,30
3.43,25.92241184,30
3.43379727,25.93032314,30
3.435,25.93282893,30
3.44,25.94321382,30
3.445,25.95356663,30
3.45,25.96388742,30
3.455,25.97417632,30
3.46,25.9844334,30
3.465,25.99465876,30
3.47,26.0048525,30
3.475,26.01501471,30
3.48,26.02514549,30
3.485,26.03524493,30
3.49,26.04531311,30
3.495,26.05535015,30
3.5,26.06535611,30
3.505,26.07533111,30
3.509681408,26.0846416,30
3.51,26.08527523,30
3.515,26.09518856,30
3.516417334,26.09798996,30
3.52,26.10507119,30.03377794
3.525,26.11492322,30.08091873
3.53,26.12474473,30.12805953
3.535,26.13453582,30.17520032
3.54,26.14429658,30.22234112
3.545,26.15402709,30.26948191
3.55,26.16372744,30.3166227
3.555,26.17339774,30.3637635
3.56,26.18303805,30.41090429
3.565,26.19264848,30.45804509
3.57,26.20222911,30.50518588
3.575,26.21178003,30.55232668
3.58,26.22130132,30.59946747
3.585,26.23079308,30.64660826
3.59,26.24025539,30.69374906
3.595,26.24968835,30.74088985
3.6,26.25909202,30.78803065
3.605,26.26846651,30.83517144
3.61,26.2778119,30.88231223
3.615,26.28712828,30.92945303
3.62,26.29641572,30.97659382
3.622482582,26.30101277,31
3.625,26.30567432,31
3.63,26.31490416,31
3.635,26.32410533,31
3.639734558,26.33279094,31
3.64,26.3332779,31
3.645,26.34242197,31
3.649314894,26.35028859,31
3.65,26.35153762,31
3.655,26.36062494,31
3.66,26.369684,31
3.665,26.37871489,31
3.667613865,26.38342131,31
3.67,26.38771769,30.9033655
3.675,26.39669249,30.7008738
3.68,26.40563936,30.49838211
3.685,26.4145584,30.29589041
3.69,26.42344968,30.09339871
3.692306236,26.42753799,30
3.695,26.43231328,29.86314072
3.7,26.44114929,29.60911093
3.705,26.44995778,29.35508113
3.71,26.45873884,29.10105134
3.711988966,26.46222101,29
3.712042549,26.46231482,30
3.715,26.46749255,30
3.72,26.47621899,30
3.725,26.48491824,30
3.73,26.49359038,30
3.735,26.50223549,30
3.74,26.51085364,30
3.74295539,26.51593176,30
3.745,26.51944493,30
3.75,26.52800942,30
3.755,26.53654719,30
3.76,26.54505833,30
3.765,26.55354291,30
3.77,26.56200101,30
3.775,26.57043271,30
3.78,26.57883809,30
3.785,26.58721721,30
3.79,26.59557017,30
3.795,26.60389703,30
3.8,26.61219788,30
3.805,26.62047279,30
3.809432608,26.62778574,30
3.81,26.62872183,30
3.815,26.63694508,30
3.82,26.64514262,30
3.825,26.65331452,30
3.83,26.66146086,30
3.835,26.66958171,30
3.836705195,26.67234257,30
3.84,26.67767715,30
3.842006576,26.68091581,30
3.845,26.68574725,29.04760087
3.845149611,26.68598797,29
3.85,26.69379209,29.34005887
3.855,26.70181173,29.69060691
3.859412991,26.70886769,30
3.86,26.70980626,30
3.865,26.71777575,30
3.87,26.72572027,30
3.87028321,26.72616885,30
3.875,26.73363989,30
3.88,26.74153469,30
3.885,26.74940473,30
3.89,26.7572501,30
3.895,26.76507086,30
3.9,26.77286709,30
3.905,26.78063886,30
3.91,26.78838623,30
3.915,26.79610928,30
3.92,26.80380809,30
3.925,26.81148272,30
3.93,26.81913324,30
3.935,26.82675972,30
3.94,26.83436224,30
3.945,26.84194086,30
3.94811193,26.84664286,30
3.95,26.84949566,30
3.955,26.85702669,30
3.96,26.86453404,30
3.965,26.87201777,30
3.97,26.87947796,30
3.975,26.88691466,30
3.98,26.89432795,30
3.985,26.90171789,30
3.99,26.90908456,30
3.995,26.91642802,30
4,26.92374834,30
4.005,26.93104559,30
4.01,26.93831983,30
4.015,26.94557114,30
4.02,26.95279957,30
4.020794053,26.9539439,30
4.025,26.9600052,30.54086664
4.028570364,26.9651343,31
4.03,26.96718809,31
4.035,26.97434831,31
4.04,26.98148592,31
4.045,26.98860099,31
4.05,26.99569359,31
4.055,27.00276377,31
4.06,27.00981162,31
4.065,27.01683718,31
4.07,27.02384053,31
4.075,27.03082174,31
4.08,27.03778085,31
4.085,27.04471795,31
4.09,27.05163309,31
4.095,27.05852634,31
4.1,27.06539776,31
4.105,27.07224742,31
4.11,27.07907537,31
4.114275028,27.08489481,31
4.115,27.08588169,31
4.12,27.09266642,31
4.125,27.09942965,31
4.13,27.10617142,31
4.135,27.11289181,31
4.135625912,27.11373042,31
4.14,27.11959087,31
4.145,27.12626867,31
4.149268875,27.13195191,31
4.15,27.13292527,31
4.150644842,27.13378103,31
4.155,27.13956072,30.48611172
4.159119754,27.14501064,30
4.16,27.1461751,30
4.165,27.15276845,30
4.17,27.15934086,30
4.175,27.16589236,30
4.177951158,27.16974697,30
4.18,27.17242303,30
4.185,27.17893293,30
4.19,27.18542211,30
4.195,27.19189064,30
4.2,27.19833857,30
4.205,27.20476597,30
4.21,27.21117289,30
4.215,27.2175594,30
4.215424737,27.21810019,30
4.22,27.22392555,29.92476092
4.225,27.23027141,29.84253715
